,prediction,actual
4587,0,0
6021,0,0
1223,0,0
5770,0,0
8587,1,1
4699,0,0
9660,1,1
10066,1,1
3845,0,0
9095,1,1
1863,0,0
5243,0,0
509,0,0
7789,0,0
4306,1,0
9314,1,1
1563,0,0
2405,0,0
5537,0,0
3052,0,0
9235,1,1
8290,1,1
5518,0,0
8161,1,1
5215,0,0
3880,1,0
6642,0,0
3751,0,0
3795,0,0
5992,0,0
7940,0,0
4554,1,0
5996,0,0
8052,1,1
622,0,0
2649,0,0
3514,0,0
4126,0,0
10063,1,1
3199,0,0
9360,1,1
2483,0,0
4225,0,0
2055,0,0
5952,1,0
4958,0,0
723,0,0
6362,0,0
9065,1,1
9294,1,1
3986,0,0
7639,0,0
8607,1,1
6633,0,0
1195,0,0
9683,1,1
2114,0,0
9274,1,1
2330,0,0
7654,0,0
5179,1,0
3848,0,0
4835,0,0
2076,0,0
689,0,0
3558,0,0
2262,0,0
1594,0,0
4940,1,0
3036,0,0
3884,0,0
4949,1,0
1105,0,0
4196,0,0
4676,0,0
2531,1,0
32,0,0
2647,0,0
7797,0,0
8789,1,1
5774,0,0
2139,0,0
8149,1,1
7067,0,0
9548,1,1
4514,0,0
2655,0,0
188,1,0
127,0,0
9861,1,1
4707,0,0
7101,0,0
7226,0,0
2943,0,0
9607,1,1
1432,0,0
1924,0,0
2171,0,0
4899,0,0
4287,0,0
3107,0,0
3634,0,0
3344,0,0
5461,1,0
6377,0,0
319,0,0
4536,0,0
4562,0,0
8029,1,1
3820,0,0
7098,0,0
712,1,0
1920,0,0
8348,1,1
7455,0,0
4599,0,0
5217,0,0
8246,1,1
4617,0,0
7943,1,0
7716,0,0
8913,1,1
4725,1,0
6087,0,0
2712,0,0
7651,0,0
937,1,0
2353,0,0
2927,0,0
9830,1,1
5493,0,0
612,0,0
1778,0,0
3128,0,0
2434,0,0
1985,0,0
8430,1,1
8849,1,1
3073,0,0
636,0,0
4512,0,0
7955,0,0
5387,0,0
6058,0,0
4673,0,0
9426,1,1
617,0,0
8892,1,1
7136,0,0
3404,0,0
946,0,0
9790,1,1
184,0,0
3202,0,0
1455,0,0
1415,0,0
2126,0,0
9061,0,1
5076,0,0
9760,1,1
7700,0,0
7232,0,0
9521,1,1
110,0,0
4619,0,0
3847,0,0
2874,0,0
9323,1,1
1785,1,0
9788,1,1
9043,1,1
8788,1,1
1304,0,0
5977,0,0
3333,0,0
2731,0,0
7494,0,0
8571,1,1
6067,0,0
2112,0,0
1147,0,0
4540,0,0
1657,1,0
7987,0,1
1457,0,0
2915,1,0
3340,0,0
5364,0,0
6361,0,0
3327,0,0
5812,0,0
2808,0,0
8990,1,1
3954,0,0
1032,0,0
9216,1,1
7900,0,0
2512,0,0
2265,0,0
1254,0,0
8465,0,1
7734,1,0
5646,1,0
94,0,0
2920,0,0
7522,0,0
1501,0,0
9584,1,1
616,1,0
7044,0,0
6927,0,0
6868,0,0
8671,1,1
301,0,0
9597,1,1
2380,0,0
3734,0,0
8077,1,1
9104,1,1
5802,0,0
2583,0,0
8886,1,1
7848,0,0
9765,1,1
2150,0,0
7921,0,0
8739,1,1
