,prediction,actual
4609,0,0
6046,0,0
1231,0,0
5795,0,0
8618,1,1
4721,0,0
9691,1,1
10097,1,1
3864,0,0
9126,1,1
1874,0,0
5267,0,0
512,0,0
7820,0,0
4327,0,0
9345,1,1
1574,0,0
2416,0,0
5561,0,0
3066,0,0
9266,1,1
8321,1,1
5542,0,0
8192,1,1
5239,0,0
3899,0,0
6669,0,0
3768,0,0
3813,0,0
6017,0,0
7971,0,0
4576,0,0
6021,0,0
8083,1,1
625,0,0
2660,0,0
3531,0,0
4146,0,0
10094,1,1
3213,0,0
9391,1,1
2494,0,0
4245,0,0
2066,0,0
5977,0,0
4982,0,0
727,0,0
6387,0,0
9096,1,1
9325,1,1
4006,0,0
7669,0,0
8638,1,1
6660,0,0
1203,0,0
9714,1,1
2125,0,0
9305,1,1
2341,0,0
7684,0,0
5203,0,0
3867,0,0
4859,0,0
2087,0,0
692,0,0
3575,0,0
2273,0,0
1605,0,0
4964,0,0
3050,0,0
3903,0,0
4973,0,0
1113,0,0
4216,0,0
4698,0,0
2542,0,0
33,0,0
2658,0,0
7828,0,0
8820,1,1
5799,0,0
2150,0,0
8180,1,1
7094,0,0
9579,1,1
4536,0,0
2666,0,0
190,0,0
128,0,0
9892,1,1
4729,0,0
7128,0,0
7253,0,0
2957,0,0
9638,1,1
1441,0,0
1935,0,0
2182,0,0
4923,0,0
4308,0,0
3121,0,0
3651,0,0
3358,0,0
5485,0,0
6402,0,0
322,0,0
4558,0,0
4584,0,0
8060,1,1
3839,0,0
7125,0,0
715,0,0
1931,0,0
8379,1,1
7484,0,0
4621,0,0
5241,0,0
8277,1,1
4639,0,0
7974,0,0
7747,0,0
8944,1,1
4747,0,0
6112,0,0
2724,0,0
7681,0,0
943,0,0
2364,0,0
2940,0,0
9861,1,1
5517,0,0
615,0,0
1789,0,0
3142,0,0
2445,0,0
1996,0,0
8461,1,1
8880,1,1
3087,0,0
639,0,0
4534,0,0
7986,0,0
5411,0,0
6083,0,0
4695,0,0
9457,1,1
620,0,0
8923,1,1
7163,0,0
3419,0,0
952,0,0
9821,1,1
186,0,0
3216,0,0
1465,0,0
1424,0,0
2137,0,0
9092,1,1
5100,0,0
9791,1,1
7731,0,0
7259,0,0
9552,1,1
111,0,0
4641,0,0
3866,0,0
2887,0,0
9354,1,1
1796,0,0
9819,1,1
9074,1,1
8819,1,1
1313,0,0
6002,0,0
3347,0,0
2743,0,0
7523,0,0
8602,1,1
6092,0,0
