,Index,Tweets,label,length,token_text,stop_tokens,hash_token,idf_token,features,rawPrediction,probability,prediction
0,100077,dyededed hair,0.0,13,"['dyededed', 'hair']","['dyededed', 'hair']","(262144,[126768,133075],[1.0,1.0])","(262144,[126768,133075],[5.306518935661455,8.545197387825835])","(262145,[126768,133075,262144],[5.306518935661455,8.545197387825835,13.0])","[-174.52756472984794,-181.9835362277782]","[0.9994223539868169,0.0005776460131832571]",0.0
1,101065,good morning haha read swine flu probably comes pigs people poor pigs got blame,0.0,79,"['good', 'morning', 'haha', 'read', 'swine', 'flu', 'probably', 'comes', 'pigs', 'people', 'poor', 'pigs', 'got', 'blame']","['good', 'morning', 'haha', 'read', 'swine', 'flu', 'probably', 'comes', 'pigs', 'people', 'poor', 'pigs', 'got', 'blame']","(262144,[24657,53570,83080,85735,86553,113432,131672,135255,148921,167709,185559,225898,242157],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0])","(262144,[24657,53570,83080,85735,86553,113432,131672,135255,148921,167709,185559,225898,242157],[5.65482562992967,4.907611228099449,6.673395210924244,6.2426122948317895,3.8356671865135006,2.7552372169285815,3.9756543794808943,15.257813311903359,5.627426655741556,8.13973227971767,3.8401818668680274,3.457601052593451,7.852050207265889])","(262145,[24657,53570,83080,85735,86553,113432,131672,135255,148921,167709,185559,225898,242157,262144],[5.65482562992967,4.907611228099449,6.673395210924244,6.2426122948317895,3.8356671865135006,2.7552372169285815,3.9756543794808943,15.257813311903359,5.627426655741556,8.13973227971767,3.8401818668680274,3.457601052593451,7.852050207265889,79.0])","[-833.5406630490194,-949.4705138398266]","[1.0,4.490611804784197e-51]",0.0
2,101271,goodnight cuppycake hope good day dont feel blah xxoo,0.0,53,"['goodnight', 'cuppycake', 'hope', 'good', 'day', 'dont', 'feel', 'blah', 'xxoo']","['goodnight', 'cuppycake', 'hope', 'good', 'day', 'dont', 'feel', 'blah', 'xxoo']","(262144,[60060,61899,87273,113432,128160,133194,150465,203388,254061],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(262144,[60060,61899,87273,113432,128160,133194,150465,203388,254061],[5.3881969666757215,4.0678605733476285,3.3008083633033536,2.7552372169285815,3.905625775120411,8.545197387825835,7.628906655951679,8.545197387825835,2.971144019844418])","(262145,[60060,61899,87273,113432,128160,133194,150465,203388,254061,262144],[5.3881969666757215,4.0678605733476285,3.3008083633033536,2.7552372169285815,3.905625775120411,8.545197387825835,7.628906655951679,8.545197387825835,2.971144019844418,53.0])","[-534.9401940407702,-591.5189236023924]","[1.0,2.680217004917595e-25]",0.0
3,101419,get dinner,0.0,10,"['get', 'dinner']","['get', 'dinner']","(262144,[150992,252722],[1.0,1.0])","(262144,[150992,252722],[5.306518935661455,3.109294358325235])","(262145,[150992,252722,262144],[5.306518935661455,3.109294358325235,10.0])","[-76.71769646650338,-97.9940857892727]","[0.9999999994248494,5.751505269768619e-10]",0.0
4,101902,well good luck,0.0,14,"['well', 'good', 'luck']","['well', 'good', 'luck']","(262144,[64881,113432,186925],[1.0,1.0,1.0])","(262144,[64881,113432,186925],[5.212992877650631,2.7552372169285815,3.632542502089783])","(262145,[64881,113432,186925,262144],[5.212992877650631,2.7552372169285815,3.632542502089783,14.0])","[-102.83860673236492,-126.25715426904816]","[0.9999999999324767,6.752335777814734e-11]",0.0
5,102221,hahahahaha day,0.0,14,"['hahahahaha', 'day']","['hahahahaha', 'day']","(262144,[241560,254061],[1.0,1.0])","(262144,[241560,254061],[7.446585099157725,2.971144019844418])","(262145,[241560,254061,262144],[7.446585099157725,2.971144019844418,14.0])","[-115.62797214809909,-120.66502561998354]","[0.9935490336368445,0.006450966363155362]",0.0
6,102307,bank holiday day,0.0,16,"['bank', 'holiday', 'day']","['bank', 'holiday', 'day']","(262144,[146390,243871,254061],[1.0,1.0,1.0])","(262144,[146390,243871,254061],[6.935759475391735,6.465755846145999,2.971144019844418])","(262145,[146390,243871,254061,262144],[6.935759475391735,6.465755846145999,2.971144019844418,16.0])","[-166.42276809198052,-205.28607868218887]","[1.0,1.323971578229562e-17]",0.0
7,102367,download movie quotjackass 3quot cool movie,0.0,43,"['download', 'movie', 'quotjackass', '3quot', 'cool', 'movie']","['download', 'movie', 'quotjackass', '3quot', 'cool', 'movie']","(262144,[13465,48555,133536,210223,223619],[1.0,1.0,1.0,2.0,1.0])","(262144,[13465,48555,133536,210223,223619],[8.545197387825835,8.545197387825835,7.446585099157725,9.712635867423797,4.49341244002253])","(262145,[13465,48555,133536,210223,223619,262144],[8.545197387825835,8.545197387825835,7.446585099157725,9.712635867423797,4.49341244002253,43.0])","[-466.5476581263291,-535.1603626913765]","[1.0,1.5917725789094854e-30]",0.0
8,102694,musicmonday happy star wars day celebrate joining,0.0,49,"['musicmonday', 'happy', 'star', 'wars', 'day', 'celebrate', 'joining']","['musicmonday', 'happy', 'star', 'wars', 'day', 'celebrate', 'joining']","(262144,[75038,81906,173955,183411,187668,213314,254061],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(262144,[75038,81906,173955,183411,187668,213314,254061],[7.158903026705945,7.446585099157725,7.158903026705945,3.7452831250452316,7.446585099157725,6.347972810489615,2.971144019844418])","(262145,[75038,81906,173955,183411,187668,213314,254061,262144],[7.158903026705945,7.446585099157725,7.158903026705945,3.7452831250452316,7.446585099157725,6.347972810489615,2.971144019844418,49.0])","[-488.1593997947868,-514.210698245055]","[0.9999999999951463,4.853609551940353e-12]",0.0
9,102791,shameless plugging best rangers forum earth,0.0,43,"['shameless', 'plugging', 'best', 'rangers', 'forum', 'earth']","['shameless', 'plugging', 'best', 'rangers', 'forum', 'earth']","(262144,[91665,115996,122954,166027,200765,249711],[1.0,1.0,1.0,1.0,1.0,1.0])","(262144,[91665,115996,122954,166027,200765,249711],[8.545197387825835,6.840449295587409,8.13973227971767,4.227709274289524,8.13973227971767,7.852050207265889])","(262145,[91665,115996,122954,166027,200765,249711,262144],[8.545197387825835,6.840449295587409,8.13973227971767,4.227709274289524,8.13973227971767,7.852050207265889,43.0])","[-552.5802688562324,-580.3177814783277]","[0.9999999999991009,8.98982683936984e-13]",0.0
